"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.1705512053018,0.977,0.247,0,"0","Umodl1"
0,2.35485722320634,0.976,0.252,0,"0","Spef2"
0,2.83486618226717,0.995,0.273,0,"0","Dcdc2a"
0,2.09870508180177,0.973,0.254,0,"0","Adcy3"
0,2.23931680740491,0.96,0.242,0,"0","Cnga2"
0,2.22161765487096,0.992,0.277,0,"0","1700012B09Rik"
0,2.06341647453452,0.984,0.27,0,"0","Clgn"
0,2.18135135908212,0.973,0.261,0,"0","Jakmip1"
0,2.63312359498291,0.92,0.209,0,"0","Efna3"
0,2.15187883771768,0.964,0.253,0,"0","Acbd7"
0,2.01021893946055,0.972,0.265,0,"0","Cntn4"
0,1.81729995944622,0.962,0.255,0,"0","Ctxn3"
0,1.95180352944853,0.969,0.265,0,"0","Syt1"
0,1.88864724099513,0.944,0.242,0,"0","Nrn1l"
0,2.12978444862369,0.964,0.262,0,"0","Pcolce2"
0,2.25121154899018,0.959,0.259,0,"0","Tom1"
0,1.85217546458774,0.958,0.26,0,"0","Ric8b"
0,2.36474985836874,0.923,0.228,0,"0","Gramd1c"
0,2.00103792346034,0.979,0.284,0,"0","Flrt1"
0,1.95587041532785,0.938,0.243,0,"0","Tmem74bos"
0,2.28887588453716,0.906,0.217,0,"0","Fam81b"
0,2.5590348612276,0.89,0.203,0,"0","Lrguk"
0,1.93319266292985,0.991,0.304,0,"0","Plekhb1"
0,2.22754749595095,0.91,0.225,0,"0","Acsl6"
0,2.1944129514944,0.994,0.315,0,"0","Scn9a"
0,2.52900844818248,0.865,0.186,0,"0","Gm11992"
0,1.72110336907349,0.968,0.291,0,"0","Elavl3"
0,2.01600696836428,0.926,0.251,0,"0","Cfap69"
0,2.3904115076418,0.871,0.197,0,"0","Cnga4"
0,1.96774578417435,0.939,0.265,0,"0","Tspan7"
0,1.96256799116324,0.939,0.269,0,"0","Tspyl4"
0,1.80801867399342,0.993,0.325,0,"0","Aplp1"
0,1.95996782763919,0.898,0.232,0,"0","Faim2"
0,1.55140589197649,0.963,0.299,0,"0","Uchl1"
0,2.1669777348452,0.906,0.243,0,"0","Manea"
0,2.1277688401633,0.899,0.237,0,"0","Oscp1"
0,2.15326297163124,0.958,0.296,0,"0","Pde6d"
0,2.4071274173741,0.858,0.197,0,"0","Cartpt"
0,1.87306295080296,0.918,0.258,0,"0","Ak1"
0,1.58378212068562,0.947,0.287,0,"0","Ebf2"
0,2.01020566926724,0.875,0.216,0,"0","Kcnc4"
0,2.13331835271116,0.896,0.238,0,"0","Hist2h2be"
0,2.21076272897582,0.871,0.215,0,"0","Ttll6"
0,1.98111480143727,0.9,0.249,0,"0","Pde4a"
0,1.51975955392625,0.912,0.262,0,"0","Lhx2"
0,2.23767501503861,0.849,0.201,0,"0","Cngb1"
0,2.35212055399615,0.83,0.183,0,"0","Slc1a2"
0,2.04116567282346,0.929,0.283,0,"0","Klhl5"
0,2.0827365770349,0.896,0.251,0,"0","Impdh1"
0,2.53293850567335,0.813,0.169,0,"0","A730046J19Rik"
0,1.77581692201433,0.965,0.322,0,"0","Igsf8"
0,3.4393764799335,0.759,0.116,0,"0","B830017H08Rik"
0,1.85653180153664,0.902,0.261,0,"0","Trnp1"
0,1.96581726096224,0.879,0.238,0,"0","Lrriq1"
0,2.16305260335604,0.854,0.214,0,"0","Rtp1"
0,1.78295031259303,0.944,0.305,0,"0","Rufy3"
0,2.05590838860365,0.862,0.226,0,"0","Fam92b"
0,1.58107011359581,0.932,0.297,0,"0","Tesc"
0,2.07057629363194,0.868,0.233,0,"0","Them6"
0,1.52637158820551,0.883,0.248,0,"0","Fgf12"
0,1.78906081987864,0.946,0.311,0,"0","Nrxn1"
0,1.85746913892819,0.92,0.287,0,"0","Rab6b"
0,2.31829462294619,0.835,0.203,0,"0","Cacnb3"
0,1.72432109483447,0.898,0.267,0,"0","Ebf3"
0,1.76479326363789,0.872,0.244,0,"0","Uncx"
0,2.12128888009777,0.998,0.373,0,"0","Stom"
0,1.62281113288757,0.912,0.287,0,"0","Syt11"
0,2.18866160778081,0.949,0.324,0,"0","Sgpl1"
0,2.0303027644054,0.851,0.227,0,"0","Spock1"
0,1.46257425955851,0.886,0.263,0,"0","Stmn3"
0,2.49861283840724,0.799,0.177,0,"0","Ephx4"
0,2.04771054330627,0.988,0.366,0,"0","Rtn1"
0,2.05021507977015,0.832,0.212,0,"0","Carns1"
0,1.70062328655973,0.994,0.375,0,"0","Ttll7"
0,1.9674429827738,0.85,0.231,0,"0","Mapk8ip2"
0,1.70679456701881,0.853,0.237,0,"0","Snap25"
0,2.14859623102376,0.814,0.2,0,"0","Clstn2"
0,1.90570786821348,0.885,0.272,0,"0","Gpm6a"
