"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.4393764799335,0.759,0.116,0,"0","B830017H08Rik"
0,3.16139821367884,0.572,0.067,0,"0","Calb2"
0,3.13460297011659,0.537,0.137,0,"0","Nqo1"
0,3.23257530368092,0.407,0.049,0,"0","Kirrel3"
0,2.90614346805688,0.401,0.06,0,"0","Rims3"
0,5.59988968949504,0.832,0.03,0,"1","Krt15"
0,5.09327770907339,0.79,0.037,0,"1","Ccdc3"
0,5.09262760603563,0.578,0.016,0,"1","Defb1"
0,6.3090016856533,0.499,0.007,0,"1","Serpinb5"
0,6.83829923344006,0.338,0.004,0,"1","Acaa1b"
0,2.03302219483188,0.728,0.18,0,"2","5730403I07Rik"
0,2.00252389013855,0.686,0.181,0,"2","Nxnl2"
0,2.00676429297527,0.377,0.094,0,"2","Gm6878"
0,2.10927160298538,0.253,0.059,0,"2","Cabp4"
0,1.9919120874302,0.257,0.065,0,"2","Pcdhb1"
0,2.28130682098903,0.974,0.272,0,"3","Umodl1"
0,2.2578920597304,0.976,0.278,0,"3","Adcy3"
0,2.18849113638481,0.847,0.221,0,"3","Cnga4"
0,2.19437611340386,0.799,0.215,0,"3","Ano2"
0,2.17379793043926,0.69,0.184,0,"3","Lrrn1"
0,2.57003017704319,0.837,0.171,0,"4","Kirrel2"
0,2.62934600232997,1,0.488,0,"4","S100a5"
0,2.65795090871208,0.399,0.067,0,"4","Kcnmb3"
0,2.58049042703824,0.314,0.054,0,"4","Rgs7"
0,2.97808864913068,0.279,0.038,0,"4","Hectd2os"
0,5.01009150593054,0.986,0.042,0,"5","C1qa"
0,4.99112660366857,0.987,0.044,0,"5","C1qb"
0,4.80925233356322,0.982,0.04,0,"5","C1qc"
0,4.83723245036752,0.897,0.035,0,"5","Ms4a7"
0,4.87043879808044,0.589,0.029,0,"5","Slamf9"
0,7.37078644577583,0.765,0.006,0,"6","Ms4a1"
0,8.07837482814783,0.644,0.007,0,"6","Ighd"
0,8.00641263684243,0.605,0.005,0,"6","Fcmr"
0,8.52456130321801,0.391,0.002,0,"6","Fcer2a"
