"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
2.35177004267789e-87,1.38563823203608,0.984,0.923,5.90976294024526e-83,"Gm42418","Upregulated"
5.55902721491822e-51,1.29255717965191,0.493,0.27,1.3969279488368e-46,"mt-Atp8","Upregulated"
7.82702062460498e-51,-0.726399749259956,0.773,0.893,1.96685201275698e-46,"Cd14","Downregulated"
7.48819613267219e-46,-0.677346284134028,0.71,0.837,1.88170880617919e-41,"Nfkbia","Downregulated"
1.04830773187581e-42,0.942714680209766,0.481,0.273,2.63429249943072e-38,"Tubb4b","Upregulated"
2.25033730391248e-41,2.70870525830293,0.337,0.156,5.65487261100166e-37,"Obp1a","Upregulated"
8.29330355046112e-41,-0.568990617185821,0.846,0.903,2.08402424919538e-36,"Dusp1","Downregulated"
1.12126733343936e-40,-0.452662474549907,0.919,0.953,2.81763268219976e-36,"Zfp36","Not Significant"
1.66605099853936e-38,-0.504273652614426,0.952,0.962,4.18661955422955e-34,"Jund","Downregulated"
3.9182601888059e-38,0.406999361273488,0.989,0.975,9.84619602845033e-34,"Calm1","Not Significant"
9.28473149533635e-34,0.851943303102099,0.433,0.254,2.33316017746307e-29,"S100a5","Upregulated"
1.47017654066881e-33,-0.378157383820663,0.989,0.99,3.69440662904664e-29,"Fos","Not Significant"
1.86521534855939e-33,0.869017704734124,0.412,0.233,4.6870996493949e-29,"Gng13","Upregulated"
1.80421077782865e-32,0.882971022993166,0.383,0.206,4.53380126360561e-28,"Omp","Upregulated"
3.91266853309437e-32,-1.16267368571531,0.304,0.458,9.83214475681283e-28,"Cxcl2","Downregulated"
4.83175146657692e-32,0.803242111871852,0.415,0.239,1.21417082603611e-27,"Atp1b1","Upregulated"
6.88892681596042e-32,0.792728970595461,0.419,0.245,1.73111841958269e-27,"Stoml3","Upregulated"
8.07113174551603e-32,1.02997164100294,0.341,0.168,2.02819469633072e-27,"Gnal","Upregulated"
1.25537723752766e-31,-0.798879387325268,0.371,0.528,3.15463746018326e-27,"Marcksl1","Downregulated"
2.39012125110962e-31,0.821093579892461,0.404,0.231,6.00613569191336e-27,"Map1b","Upregulated"
2.84029864305994e-31,-0.271430007211405,0.987,0.993,7.13738646014532e-27,"Cd74","Not Significant"
2.46117725051757e-30,1.00551597704973,0.327,0.161,6.1846923128256e-26,"Tshz2","Upregulated"
1.03109598412284e-29,1.14447322449844,0.295,0.134,2.59104109850228e-25,"Atf5","Upregulated"
2.21337276694376e-29,-0.649595433586622,0.397,0.54,5.56198442605296e-25,"Ost4","Downregulated"
2.99823804707295e-29,-0.61818089290578,0.565,0.694,7.53427238848961e-25,"Cd83","Downregulated"
4.07270454193149e-29,1.09935722099857,0.296,0.137,1.02342992434196e-24,"Fstl5","Upregulated"
1.92573620724289e-27,0.676716786308045,0.436,0.274,4.83918251518065e-23,"Tuba1a","Upregulated"
8.41706644315303e-27,-0.367282827585588,0.969,0.975,2.11512462649993e-22,"Btg2","Not Significant"
8.68554553893827e-27,1.12151340245658,0.275,0.127,2.1825907384798e-22,"Chga","Upregulated"
2.62522094737691e-26,0.553688014091959,0.613,0.427,6.59691771866344e-22,"Dstn","Upregulated"
1.99893372921173e-25,1.12232594670674,0.26,0.118,5.02312056813615e-21,"Nsg1","Upregulated"
3.15421563650711e-25,1.13968180633027,0.262,0.118,7.92622847297873e-21,"Chchd10","Upregulated"
8.25008031028583e-25,1.15171095368078,0.251,0.113,2.07316268117173e-20,"Gfy","Upregulated"
1.67996113235929e-24,1.07224475863404,0.269,0.129,4.22157432950565e-20,"Epcam","Upregulated"
3.73642506211889e-23,-0.53078034047945,0.776,0.832,9.38926253859856e-19,"Il1b","Downregulated"
6.68108731407057e-23,-0.474550292588225,0.883,0.922,1.67889043115279e-18,"Lyz2","Not Significant"
1.15655290904659e-22,-0.780606752188127,0.329,0.46,2.90630180514317e-18,"Klf2","Downregulated"
1.54442005544675e-22,-0.510974655478028,0.679,0.781,3.88097315733215e-18,"Klf6","Downregulated"
4.25620147951757e-22,1.04078864012628,0.248,0.119,1.06954086978797e-17,"Ebf1","Upregulated"
6.14328726107837e-22,0.466928546401229,0.707,0.545,1.54374665583638e-17,"Gnb1","Not Significant"
8.36869926486342e-22,1.29882202750191,0.221,0.098,2.10297043826753e-17,"Arl6ip5","Upregulated"
1.69688869521541e-21,-0.751619013154221,0.315,0.436,4.26411160220681e-17,"Tnfaip3","Downregulated"
6.89811499451168e-21,0.969873627349582,0.251,0.124,1.73342731697084e-16,"Olfm1","Upregulated"
1.26253542711074e-20,-0.49180761391456,0.553,0.668,3.17262527478657e-16,"Socs3","Not Significant"
6.13592885072209e-20,-0.55470581384342,0.63,0.714,1.54189756089795e-15,"Fosb","Downregulated"
1.36551168343971e-19,0.519986022328211,0.674,0.51,3.43139430931565e-15,"App","Upregulated"
1.77728986745254e-19,0.353901361073544,0.866,0.801,4.4661517079215e-15,"Rrbp1","Not Significant"
9.06772385611901e-19,-0.330328802147838,0.727,0.842,2.27862832780415e-14,"Selenop","Not Significant"
1.69223411367153e-18,0.68565432492535,0.464,0.332,4.2524151042452e-14,"Nmt1","Upregulated"
1.85302858763975e-18,0.353971457251815,0.844,0.702,4.65647553787994e-14,"Serbp1","Not Significant"
2.59709342292541e-18,-0.971520954769975,0.177,0.279,6.52623606246927e-14,"Il1a","Downregulated"
1.06674945473847e-17,0.576581065719795,0.487,0.346,2.6806347048123e-13,"Hnrnpm","Upregulated"
3.80467603389461e-17,2.25054603485896,0.106,0.029,9.56077040557376e-13,"Cfb","Upregulated"
4.3913495810514e-17,-0.51103281261361,0.255,0.374,1.10350223622241e-12,"Fcrls","Downregulated"
1.37085704601912e-16,0.364286140542601,0.784,0.702,3.44482667094145e-12,"Ptms","Not Significant"
1.68701188372656e-16,-0.349875158720312,0.677,0.769,4.23929216261646e-12,"Trf","Not Significant"
1.84710518507321e-16,1.17118071856756,0.17,0.076,4.64159061957046e-12,"Myo6","Upregulated"
2.43842752270232e-16,0.877608313059148,0.224,0.118,6.12752452179867e-12,"Msi2","Upregulated"
4.87137334801337e-16,1.18314396045628,0.166,0.074,1.22412740862228e-11,"Sult1d1","Upregulated"
2.03493814665035e-15,-0.562291795209352,0.337,0.443,5.11359606871767e-11,"Sdc4","Downregulated"
2.41907421156788e-15,-0.273973007575933,0.984,0.981,6.07889158624894e-11,"Ubc","Not Significant"
2.51959092697637e-15,-0.679562381754651,0.268,0.356,6.33148004039892e-11,"Sec11c","Downregulated"
4.25263550451096e-15,0.748086721069732,0.249,0.145,1.06864477592856e-10,"Tsc22d1","Upregulated"
8.49197620882872e-15,-0.804928421402676,0.319,0.419,2.13394870151657e-10,"Pf4","Downregulated"
1.94547271615388e-14,-0.510920391643042,0.556,0.646,4.88877838842309e-10,"Ier3","Downregulated"
2.80147802692447e-14,-0.416041752445976,0.591,0.676,7.03983413385851e-10,"Pmepa1","Not Significant"
3.19483878771222e-14,0.333583400587792,0.997,0.998,8.02831038964203e-10,"mt-Atp6","Not Significant"
3.36003093499646e-14,1.12596858682547,0.22,0.126,8.44342173655259e-10,"Zbp1","Upregulated"
4.20227469514983e-14,-0.563380715980428,0.248,0.34,1.0559896081442e-09,"Cd300a","Downregulated"
5.25029114757769e-14,0.36813032218076,0.643,0.5,1.3193456624748e-09,"Pkm","Not Significant"
1.26876790627125e-13,1.17522942862491,0.141,0.063,3.18828687166902e-09,"Cystm1","Upregulated"
1.3245118295372e-13,1.12618322814658,0.261,0.166,3.32836577644404e-09,"H2-Q7","Upregulated"
1.32453947779657e-13,-0.690057016076765,0.206,0.295,3.32843525375501e-09,"C5ar1","Downregulated"
1.55189888532965e-13,0.549182276892623,0.452,0.338,3.89976670894488e-09,"Dync1i2","Upregulated"
2.49374560509456e-13,-0.369836387232636,0.842,0.862,6.26653333104213e-09,"Mt1","Not Significant"
4.35740640813277e-13,-1.17148133000929,0.082,0.143,1.09497265629968e-08,"Gm17056","Downregulated"
5.52211712284475e-13,1.79770254686668,0.149,0.072,1.38765281179966e-08,"Ccl5","Upregulated"
5.67661022759492e-13,-0.252565109098253,0.842,0.898,1.42647538409233e-08,"Mcl1","Not Significant"
7.01583746937397e-13,1.02353892610041,0.139,0.063,1.76300979767899e-08,"Ncam1","Upregulated"
8.08489287773313e-13,1.78484177814392,0.211,0.123,2.03165273124556e-08,"Obp1b","Upregulated"
1.04147384987071e-12,-0.4437486877623,0.433,0.535,2.61711963734011e-08,"Sqstm1","Not Significant"
